"baumnummer,C,20","hochwert,N,19,11","rechtswert,N,19,11","ga_lang,C,80","GEBIET,C,80","STRASSE,C,100"
" 4290",6075876.04008,3527588.24517,"Populus x berolinensis, Berliner Lorbeer-Pappel","Grünflächen","Wolfgang-Prinz-Park"
" 4300",6075875.52209,3527589.94042,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 4370",6075869.67387,3527595.85809,"Malus sylvestris Aggregat, Hausapfel","Grünflächen","Wolfgang-Prinz-Park"
" 4320",6075868.694,3527615.74587,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4340",6075862.80772,3527612.07283,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4350",6075857.43944,3527609.57705,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2240",6076008.92719,3527630.16055,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 2250",6076004.95395,3527626.69059,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3680",6076002.55229,3527622.98045,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 2260",6075998.62325,3527631.6439,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3660",6075994.67645,3527622.52132,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 2320",6075989.66247,3527629.52974,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3640",6075985.16893,3527623.36895,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 2330",6075980.47987,3527635.0393,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 2340",6075975.48831,3527634.70967,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3550",6075971.37855,3527630.98579,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3580",6075974.75728,3527628.84319,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3590",6075976.55848,3527626.58286,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3500",6075971.75724,3527619.70376,"Acer pseudoplatanus 'Atropurpureum', Sorte vom Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3820",6075966.13976,3527603.47096,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3830",6075954.48022,3527600.69264,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2360",6075964.04538,3527640.12504,"Acer pseudoplatanus 'Atropurpureum', Sorte vom Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3540",6075963.56157,3527632.91649,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3530",6075964.73883,3527629.94981,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3490",6075957.10157,3527621.97089,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3480",6075956.39522,3527612.92956,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 2910",6075933.7665,3527607.84009,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2970",6075927.49761,3527628.83056,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2990",6075920.15153,3527633.20996,"Acer pseudoplatanus 'Atropurpureum', Sorte vom Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2980",6075921.03447,3527625.22816,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3000",6075913.47649,3527630.06668,"Acer pseudoplatanus 'Atropurpureum', Sorte vom Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3010",6075909.34432,3527637.76594,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3020",6075904.43516,3527626.35833,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3030",6075908.99114,3527621.87298,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3040",6075903.72881,3527621.34322,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3060",6075901.41746,3527623.52114,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3050",6075901.30601,3527617.9174,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 2900",6075909.39485,3527609.80044,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 2890",6075906.14563,3527612.24913,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 2880",6075894.9664,3527615.02746,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3130",6075897.91866,3527642.79282,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3080",6075898.88047,3527638.37811,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3150",6075887.93552,3527647.59603,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3120",6075891.4202,3527640.34413,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3090",6075894.28917,3527638.09557,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3070",6075899.39258,3527632.79792,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 2870",6075887.60149,3527617.89996,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3160",6075881.20633,3527648.01984,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3110",6075883.83867,3527638.50761,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2860",6075880.7734,3527619.07722,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3460",6075941.93381,3527641.438,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3440",6075924.03952,3527652.17457,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3430",6075923.17305,3527656.15841,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 2430",6075903.72749,3527672.22175,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 2440",6075895.9576,3527673.35192,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3360",6075897.54184,3527655.57449,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3350",6075892.23006,3527655.15067,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 3320",6075890.53481,3527662.12003,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 3340",6075883.56545,3527653.45543,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3330",6075879.28024,3527653.36125,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3230",6075872.807,3527656.26691,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3240",6075867.39162,3527661.1172,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3220",6075866.40273,3527657.06744,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3210",6075857.45558,3527659.46905,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3200",6075852.39809,3527672.2305,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3190",6075848.25415,3527661.24906,"Quercus cf. robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 3170",6075852.10142,3527653.71462,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 2730",6075840.47577,3527655.91453,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2700",6075820.69547,3527669.15949,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1970",6076020.66178,3527665.69917,"Laburnum anagyroides, Gemeiner Goldregen","Grünflächen","Wolfgang-Prinz-Park"
" 1960",6076026.21843,3527659.81289,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2270",6076004.58066,3527639.3716,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2280",6075997.89384,3527643.04464,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 2290",6075993.42027,3527650.34363,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 2300",6075992.47847,3527645.77587,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 2370",6075979.53807,3527645.1637,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2380",6075970.40256,3527654.86429,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1930",6075992.64309,3527670.50237,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 1920",6075983.77906,3527674.87857,"Tilia tomentosa, Silber-Linde","Grünflächen","Wolfgang-Prinz-Park"
" 1900",6075979.79216,3527677.613,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1910",6075978.56781,3527672.57434,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1880",6075957.49964,3527689.71519,"Alnus glutinosa, Schwarz-Erle","Grünflächen","Wolfgang-Prinz-Park"
" 1870",6075950.67155,3527692.44642,"Alnus glutinosa, Schwarz-Erle","Grünflächen","Wolfgang-Prinz-Park"
" 1850",6075944.87945,3527694.28294,"Alnus glutinosa, Schwarz-Erle","Grünflächen","Wolfgang-Prinz-Park"
" 1820",6075924.1362,3527691.32568,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 2390",6075942.33678,3527658.96114,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 2410",6075922.28104,3527669.5847,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 1800",6075889.90159,3527686.80501,"Populus x berolinensis, Berliner Lorbeer-Pappel","Grünflächen","Wolfgang-Prinz-Park"
" 1790",6075882.41425,3527695.28126,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1740",6075813.80376,3527682.33144,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 1720",6075795.33026,3527683.41452,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 1710",6075786.17644,3527683.82786,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 1660",6075739.35762,3527678.1391,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 2750",6075849.06757,3527645.51608,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2760",6075847.32481,3527639.06787,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2770",6075845.40778,3527631.6902,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2740",6075839.5463,3527650.51198,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2790",6075835.00932,3527643.77332,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 2800",6075828.98519,3527643.94759,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 2820",6075827.21296,3527634.19318,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2810",6075819.89828,3527640.59746,"Castanea sativa, Eßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 2600",6075807.76189,3527643.56263,"Acer pseudoplatanus 'Atropurpureum', Sorte vom Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2610",6075805.50155,3527649.68436,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2620",6075803.8534,3527655.42937,"Acer cf. platanoides, Spitzahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2630",6075810.70032,3527658.49024,"Fraxinus excelsior, Gemeine Esche","Grünflächen","Wolfgang-Prinz-Park"
" 2660",6075820.28829,3527657.24505,"Fraxinus excelsior, Gemeine Esche","Grünflächen","Wolfgang-Prinz-Park"
" 2680",6075822.53305,3527652.22724,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 2670",6075815.60817,3527650.11864,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 2580",6075798.67347,3527640.45468,"Acer pseudoplatanus 'Atropurpureum', Sorte vom Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2570",6075790.38402,3527650.76744,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2560",6075777.29293,3527651.8976,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2550",6075765.11059,3527655.93265,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 2510",6075751.53182,3527670.85614,"Carpinus betulus, Gemeine Hainbuche","Grünflächen","Wolfgang-Prinz-Park"
" 4410",6075848.12446,3527608.98999,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4390",6075857.18306,3527588.60515,"Juglans regia, Walnuß","Grünflächen","Wolfgang-Prinz-Park"
" 4400",6075820.49034,3527598.98593,"Morus alba ""pendula"", Hänge-Maulbeerbaum","Grünflächen","Wolfgang-Prinz-Park"
" 4420",6075839.7424,3527615.25299,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4430",6075830.99774,3527622.00573,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4440",6075822.07414,3527627.32693,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4460",6075812.27937,3527628.55128,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4450",6075819.71963,3527620.02794,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4510",6075812.49128,3527614.02864,"Quercus rubra, Amerikanische Roteiche","Grünflächen","Wolfgang-Prinz-Park"
" 4500",6075805.8437,3527616.8258,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 4550",6075806.69133,3527605.64972,"Carpinus betulus, Gemeine Hainbuche","Grünflächen","Wolfgang-Prinz-Park"
" 4580",6075798.63018,3527611.59356,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 4590",6075790.84441,3527607.7618,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 4600",6075791.69618,3527614.38976,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 4470",6075801.04835,3527631.68749,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4480",6075801.37798,3527624.76522,"Quercus rubra, Amerikanische Roteiche","Grünflächen","Wolfgang-Prinz-Park"
" 4620",6075796.93842,3527623.11846,"Malus sylvestris Aggregat, Hausapfel","Grünflächen","Wolfgang-Prinz-Park"
" 4630",6075795.5571,3527627.2624,"Malus sylvestris Aggregat, Hausapfel","Grünflächen","Wolfgang-Prinz-Park"
" 4610",6075792.198,3527621.36042,"Quercus robur, Stiel-Eiche","Grünflächen","Wolfgang-Prinz-Park"
" 4660",6075783.35931,3527616.92611,"Fagus sylvatica, Rotbuche","Grünflächen","Wolfgang-Prinz-Park"
" 4640",6075790.29084,3527636.52348,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4650",6075781.48497,3527632.19118,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4670",6075772.44364,3527628.32978,"Acer pseudoplatanus 'Atropurpureum', Sorte vom Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4680",6075766.24186,3527624.60965,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4740",6075787.35974,3527606.12934,"Acer pseudoplatanus 'Atropurpureum', Sorte vom Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4720",6075779.14458,3527606.9979,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4710",6075777.63769,3527607.32753,"Robinia pseudoacacia, Gemeine Robinie","Grünflächen","Wolfgang-Prinz-Park"
" 4700",6075773.2583,3527607.65716,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4690",6075772.7874,3527610.90639,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4760",6075768.25727,3527610.97101,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4770",6075764.11333,3527614.3615,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4780",6075758.93341,3527612.00699,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4790",6075751.39897,3527615.96257,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4870",6075746.61931,3527621.72642,"Acer pseudoplatanus 'Atropurpureum', Sorte vom Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4880",6075741.29811,3527616.35813,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4890",6075731.71995,3527617.67666,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4810",6075764.81969,3527647.74848,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4820",6075755.54291,3527644.7818,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4830",6075747.79656,3527656.47902,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4850",6075740.49758,3527639.33817,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 4950",6075733.98029,3527663.06223,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 4940",6075731.71995,3527654.77435,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 4930",6075729.64798,3527647.00446,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 4920",6075727.71728,3527640.60019,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 1680",6075741.47668,3527688.94631,"Aesculus hippocastanum, Roßkastanie","Grünflächen","Wolfgang-Prinz-Park"
" 1410",6075728.6387,3527693.36102,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1390",6075727.74399,3527699.2473,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1370",6075728.82706,3527705.60449,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1360",6075731.5583,3527709.3717,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 910",6075742.02286,3527714.57202,"Malus sylvestris Aggregat, Hausapfel","Grünflächen","Wolfgang-Prinz-Park"
" 900",6075739.6323,3527723.22022,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 950",6075732.56608,3527721.72026,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 960",6075730.21068,3527726.46623,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 970",6075728.52322,3527729.06772,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 980",6075727.22248,3527734.44648,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 890",6075728.71658,3527739.20183,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 880",6075725.16589,3527741.10021,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 990",6075722.05465,3527734.97381,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1010",6075718.4688,3527739.36823,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 840",6075713.54706,3527757.65836,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 850",6075716.35948,3527754.81078,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 870",6075716.04309,3527746.68991,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1000",6075712.70333,3527736.13394,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 820",6075707.28941,3527751.68196,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1030",6075709.13155,3527745.00714,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1040",6075706.24882,3527746.58913,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1050",6075703.26889,3527748.41682,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 800",6075701.11123,3527755.06256,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1070",6075700.22715,3527750.08558,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1080",6075694.25846,3527753.29949,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 780",6075695.22024,3527758.5802,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 770",6075692.00633,3527760.13418,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1100",6075687.90128,3527756.86657,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1110",6075684.89928,3527758.59714,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 680",6075691.26466,3527770.6094,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 670",6075690.98212,3527771.84552,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 660",6075682.71974,3527775.51202,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 750",6075685.98467,3527763.52467,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 740",6075682.98266,3527765.46715,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 700",6075678.09116,3527770.53877,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 710",6075676.961,3527768.94947,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 640",6075676.85701,3527776.53623,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 630",6075676.50383,3527777.10131,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 620",6075670.81768,3527777.56044,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 610",6075664.66129,3527775.88482,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 590",6075654.17194,3527781.07652,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1290",6075692.36112,3527744.89388,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1300",6075692.89088,3527742.88077,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1280",6075687.76982,3527744.3288,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1130",6075682.78022,3527755.17133,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1160",6075682.07386,3527751.14511,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1170",6075679.56631,3527751.95742,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1220",6075672.50277,3527765.59004,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1190",6075675.78732,3527759.58604,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1210",6075670.20712,3527761.88169,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1180",6075672.43214,3527756.61935,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 1260",6075665.83754,3527761.28129,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1270",6075667.88597,3527758.77373,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1230",6075657.7753,3527774.13692,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 1240",6075659.97481,3527769.19245,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 490",6075660.2042,3527763.88387,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 510",6075653.52916,3527764.69617,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 470",6075655.25972,3527755.51358,"Acer platanoides, Spitz-Ahorn","Grünflächen","Wolfgang-Prinz-Park"
" 540",6075651.0322,3527773.67393,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 550",6075648.13615,3527774.02711,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
" 560",6075645.66391,3527775.016,"Tilia cf. platyphyllos, Sommerlinde","Grünflächen","Wolfgang-Prinz-Park"
