Abelia chinensis,Chinesische Abelie
Aesculus glabra,Amerikanische Rosskastanie
Aesculus glabra,Ohio-Rosskastanie
Aesculus hippocastanum 'Baumannii',Baumannii-Rosskastanie
Aesculus hippocastanum 'Baumannii',Gefülltblühende Rosskastanie
Aesculus hippocastanum f. laciniata,Schlitzblättrige Rosskastanie
Aesculus hippocastanum f. memingeri,Gold-Kastanie
Aesculus hippocastanum,Gemeine Rosskastanie
Aesculus hippocastanum,Gewöhnliche Rosskastanie
Aesculus hippocastanum 'Pyramidalis',Rosskastanie'Pyramidalis'
Aesculus indica,Indische Rosskastanie
Aesculus parviflora,Strauch-Rosskastanie
Aesculus pavia 'Discolor',Rotblühende Rosskastanie 'Discolor'
Aesculus pavia,Echte Pavie
Aesculus turbinata,Japanische Rosskastanie
Aesculus x carnea,Rotblühende Rosskastanie
Aesculus x carnea,Rote Rosskastanie
Aesculus x mutabilis 'Penduliflora',Rosskastanien-Hybrid
Aesculus x neglecta 'Erythroblastos',Carolina-Rosskastanie
Afzelia africana,Afzelia
Ailanthus altissima,Götterbaum
Akebia quinata,Fingerblättrige Akebie
Alangium platanifolium,Platanenblättrige Alangie
Albizia julibrissin,Seidenbaum
Allocasuarina luehmannii,Buloke
Alnus cf. glutinosa,Möglicherweise Schwarz-Erle
Alnus cordata,Herzblättrige Erle
Alnus glutinosa 'Laciniata',Schlitzblättrige Schwarz-Erle
Alnus glutinosa,Schwarz-Erle
Alnus incana,Grau-Erle
Alnus sinuata,Sitka-Erle
Alnus spec.,Erle-Arten
Alnus species,Erle-Arten
Alnus viridis,Grün-Erle
Alnus x spaethii,Großblättrige Erle
Alnus x spaethii 'Spaeth',Spaeth-Schwarz-Erle
Aloysia citrodora,Zitronen-Verbene
Amelanchier arborea,Baum-Felsenbirne
Amelanchier arborea 'Robin Hill',Kupfer-Felsenbirne 'Robin Hill'
Amelanchier asiatica,Japanische Felsenbirne
Amelanchier laevis,Kahle Felsenbirne
Amelanchier lamarckii,Kupfer-Felsenbirne
Amelanchier ovalis,Gemeine Felsenbirne
Amelanchier spec.,Felsenbirne-Arten
Amelanchier spicata,Ährige Felsenbirne
Amorpha fructicosa,Gewöhnlicher Bastardindigo
Anacardium occidentale,Cashew
Anagyris foetida,Stinkstrauch
Andromeda polifolia,Rosmarinheide
Annona cherimola,Cherimoya
Aralia elata,Japanischer Angelikabaum
Araucaria araucana,Andentanne
Araucaria bidwillii,Queensland-Araukarie
Araucaria columnaris,Säulen-Araukarie
Araucaria cunninghamii,Cunninghams Araukarie
Araucaria heterophylla,Norfolktanne
Arbutus canariensis,Kanarischer Erdbeerbaum
Arbutus menziesii,Amerikanischer Erdbeerbaum
Arbutus unedo,Westlicher Erdbeerbaum
Argania spinosa,Arganbaum
Argyrocytisus battandieri,Silberginster
Aronia arbutifolia,Filzige Apfelbeere
Aronia melanocarpa,Kahle Apfelbeere
Aronia x prunifolia,Pflaumenblättrige Apfelbeere
Artemisia absinthum,Echter Wermut
Asimina triloba,Indianerbanane
Asparagus acutifolius,Stechender Spargel
Aucuba japonica,Japanische Goldorange
Averrhoa carambola,Karambole
Barringtonia asiatica,Barringtonia asiatica
Bauhinia galpinii,Zwerg-Orchideenbaum
Bauhinia kockiana,Kocks Bauhinie
Bauhinia x blakeana,Hong-Kong-Orchideenbaum
Berberis julianae,Julianes Berberitze
Berberis koreana,Koreanische Berberitze
Berberis thunbergii,Thunbergs Berberitze
Berberis vulgaris,Gewöhnliche Berberitze
Betula albosinensis 'fascination',Rot-Hainbuche 'Fascination'
Betula alleghaniensis,Gelb-Birke
Betula alnoides subsp. alnoides,Erlenblättrige Birke
Betula alnoides subsp. luminifera,Leuchtende Birke
Betula cf. pendula,Möglicherweise Hänge-Birke
Betula costata,Gerippte Birke
Betula dahurica,Mongolische Birke
Betula ermanii,Ermans Birke
Betula insignis,Birke
Betula lenta f. uber,Virginische Rundblatt-Birke
Betula lenta,Zucker-Birke
Betula maximowicziana,Lindenblättrige Birke
Betula nana,Zwerg-Birke
Betula nigra,Schwarz-Birke
Betula papyrifera,Papier-Birke
Betula pend.dar.,Trauer-Birke
Betula pendula 'Crispa',Kräuselblättrige Hänge-Birke
Betula pendula 'Dalecarlica',Dalecarlica-Hänge-Birke
Betula pendula 'Fastigiata',Säulen-Birke
Betula pendula f. dalecarlica,Schlitzblättrige Hänge-Birke
Betula pendula,Hänge-Birke
Betula pendula 'Tristis',Hänge-Birke
Betula pendula 'Youngii',Youngii-Hänge-Birke
Betula platyphylla,Asien-Hänge-Birke
Betula populifolia,Pappelblättrige Birke Hybride
Betula pubescens,Moor-Birke
Betula spec.,Birke-Arten
Betula species,Birke-Arten
Betula utilis,Asiatische Birke
Betula utilis 'Doorenbos',Weißrindige Himalaja-Birke
Betula utilis var. jacquemontii 'Doorenbos',Doorenbos Weißrindige Himalaja-Birke
Bougainvillea glabra,Bougainvillea
Bougainvillea spectabilis,Prächtige Bougainvillea
Brachychiton acerifolius,Ahornblättriger Flaschenbaum
Brachychiton discolor,Lacebark Flaschenbaum
Brachychiton populneus,Pappelblättriger Flaschenbaum
Brachychiton rupestris,Queensland-Flaschenbaum
Broussonetia papyrifera,Papiermaulbeerbaum
Buddleja alternifolia,Schmalblättriger Sommerflieder
Buddleja davidii,Gewöhnlicher Sommerflieder
Buddleja globosa,Kugelblütiger Sommerflieder
Buddleja x weyeriana,Gelber Sommerflieder
Bupleurum fruticosum,Strauchiges Hasenohr
Butyrospermum parkii,Afrikanischer Butterbaum
Buxus sempervirens,Gewöhnlicher Buchsbaum
Caesalpinia gilliesii,Paradiesvogelbusch
Calicotome spinosa,Stacheliger Dornginster
Callicarpa dichotoma,Purpur-Schönfrucht
Callistemon citrinus,Karminroter Zylinderputzer
Calluna vulgaris,Besenheide
Calocedrus decurrens 'Aureovariegata',Rauchzypresse
Calocedrus decurrens,Rauchzypresse
Calycanthus fertilis,Fruchtbarer Gewürzstrauch
Calycanthus floridus,Echter Gewürzstrauch
Camellia japonica,Japanische Kamelie
Camellia sasanqua,Herbst-Kamelie
Campsis grandiflora,Chinesische Klettertrompete
Campsis radicans,Amerikanische Klettertrompete
Campsis x tagliabuana,Hybrid-Klettertrompete
Capparis spinosa,Kapernstrauch
Caragana arborescens,Gewöhnlicher Erbsenstrauch
Carissa edulis,Karandapflaume
Carissa macrocarpa,Natalpflaume
Carpenteria californica,Baum-Anemone
Carpinus betulus 'Columnaris',Hainbuche 'Columnaris' Säulenhainbuche
Carpinus betulus 'Fastigiata',Säulen-Hainbuche
Carpinus betulus 'Frans Fontaine',Säulen-Hainbuche 'Frans Fontaine'
Carpinus betulus-Gruppe,Hainbuche Weißbuche
Carpinus betulus,Hainbuche
Carpinus betulus 'Horizontalis',Hainbuche 'Horizontalis'
Carpinus betulus 'Lucas',Lucas-Hainbuche
Carpinus betulus 'Monumentalis',Säulen-Hainbuche 'Monumentalis'
Carpinus betulus 'Quercifolia',Eichenblättrige Hainbuche
Carpinus caroliniana,Amerikanische Hainbuche
Carpinus japonica,Japanische Hainbuche
Carpinus species,Hainbuchenart
Carya cordiformis,Bitternuss
Carya illinoinensis,Pekannuss
Carya laciniosa,Königsnuss
Carya ovata,Schuppenrinden-Hickorynuss
Carya tomentosa,Spottnuss-Hickory
Cascabela thevetia,Tropischer Oleander
Cassia siberiana,Cassia siberiana
Castanea crenata,Japanische Kastanie
Castanea dentata,Amerikanische Kastanie
Castanea sativa,Ess-Kastanie
Castanea sativa (s),Esskastanie / Marone
Castanea sativa (v),Edelkastanie
Casuarina cunninghamiana,Cunninghams Kasuarine
Casuarina stricta,Kasuarine
Catalpa bignonioides 'Aurea',Gold-Trompetenbaum 'Aurea'
Catalpa bignonioides 'Nana',Kugel-Trompetenbaum 'Nana'
Catalpa bignonioides,Trompetenbaum
Catalpa bungei,Bunges Trompetenbaum
Catalpa ovata,Gelber Trompetenbaum
Catalpa speciosa,Prächtiger Trompetenbaum
Catalpa x erubescens,Purpurblättriger Trompetenbaum
Ceanothus hybridus,Immergrüne Hybrid-Säckelblume
Ceanothus x delilianus,Französische Hybrid-Säckelblume
Cedrus atlantica,Atlas-Zeder
Cedrus atlantica 'Glauca',Blaue Atlas-Zeder
Cedrus brevifolia,Zypern-Zeder
Cedrus deodara,Himalaja-Zeder
Cedrus deodara 'Paktia',Himalaja-Zeder 'Paktia'
Cedrus libani,Libanon Zeder
Cedrus spec.,Zeder-Arten
Ceiba speciosa,Florettseidenbaum
Celtis australis,Südlicher Zürgelbaum
Celtis occidentalis,Westlicher Zürgelbaum
Cephalanthus occidentalis,Knopfstrauch
Cephalotaxus fortunei,Chinesische Kopfeibe
Cephalotaxus harringtonia,Harringtons Kopfeibe
Cephalotaxus sinensis,Chinesische Kopfeibe
Ceratonia siliqua,Johannisbrotbaum
Cercidiphyllum japonicum,Katsurabaum
Cercis canadensis,Kanadischer Judasbaum
Cercis chinensis,Chinesischer Judasbaum
Cercis siliquastrum,Gewöhnlicher Judasbaum
Chaenomeles japonica,Japanische Zierquitte
Chaenomeles speciosa,Chinesische Zierquitte
Chamaecyparis cf. obtusa,Möglicherweise Sicheltanne
Chamaecyparis lawsoniana 'Alumii',Alumii-Lawson-Scheinzypresse
Chamaecyparis lawsoniana cf. 'Alumii',Möglicherweise Alumii-Lawson-Scheinzypresse
Chamaecyparis lawsoniana cf. 'Glauca Argentea',Möglicherweise Blau-Silber-Lawson-Scheinzypresse
Chamaecyparis lawsoniana 'Columnaris Glauca',Blaue Säulen-Scheinzypresse
'Chamaecyparis lawsoniana 'gelblaubige Sorten',Gelb-blaue Lawson-Scheinzypressen-Sorten
Chamaecyparis lawsoniana 'Glauca',Blau-Lawson-Scheinzypresse
Chamaecyparis lawsoniana 'Glauga Argentea',Silber-Blau-Lawson-Scheinzypresse
Chamaecyparis lawsoniana,Lawson-Scheinzypresse
Chamaecyparis nootkatensis,Alaska-Scheinzypresse
Chamaecyparis nootkatensis 'Pendula',Hängende Alaska-Scheinzypresse
Chamaecyparis obtusa,Hinoki-Scheinzypresse
Chamaecyparis pisifera,Fächer-Scheinzypresse
Chamaecyparis pisifera f. squarrosa,Sawara-Scheinzypresse Squarrosa-Form
Chamaecyparis pisifera 'Plumosa',Fieder-Scheinzypresse
Chamaecyparis pisifera 'Plumosa Vera',Echte Fieder-Scheinzypresse
Chamaecyparis pisifera,Sawara-Scheinzypresse
Chamaecyparis species,Scheinzypressenart
Chamaecyparis spec.,Scheinzypressen-Arten
Chamaecyparis thyoides,Weiße Scheinzypresse
Chamaerops humilis,Europäische Zwergpalme
Chimonanthus praecox,Chinesische Winterblüte
Chionanthus retusus,Chinesischer Schneeflockenstrauch
Chionanthus virginicus,Virginischer Schneeflockenstrauch
Chitalpa tashkentensis,Schmalblättriger Trompetenbaum
Choisya ternata,Mexikanische Orangenblume
Choisya x dewitteana,Dewittes Orangenblume
Cinnamomum camphora,Kampferbaum
Cistus albidus,Weißliche Zistrose
Cistus crispus,Krause Zistrose
Cistus incanus,Graue Zistrose
Cistus incanus ssp. creticus,Kretische Zistrose
Cistus ladanifer,Lack-Zistrose
Cistus laurifolius,Lorbeerblättrige Zistrose
Cistus monspeliensis,Montpelier-Zistrose
Cistus populifolius,Pappelblättrige Zistrose
Cistus salviifolius,Salbeiblättrige Zistrose
Cistus symphytifolius,Beinwellblättrige Zistrose
Citharexylum spinosum,Leierholz
Citrus medica,Zitronat-Zitrone
Citrus x aurantium,Orange
Citrus x limon,Zitrone
Cladastris kentukea,Amerikanischer Gelbholzbaum
Clematis armandii,Immergrüne Waldrebe
Clematis flammula,Brennende Waldrebe
Clematis montana,Berg-Waldrebe
Clematis vitalba,Gewöhnliche Waldrebe
Clematis viticella,Italienische Waldrebe
Clerodendrum bungei,Bunges Losbaum
Clerodendrum trichotomum,Losbaum
Clethra alnifolia,Erlenblättrige Zimterle
Clethra barbinervis,Japanische Zimterle
Cneorum tricoccon,Zwergölbaum
Coccoloba uvifera,Seetraube
Cocos nucifera,Kokospalme
Colutea arborescens,Gewöhnlicher Blasenstrauch
Cornus alba,Tatarischer Hartriegel
Cornus alternifolia,Wechselblättriger Hartriegel
Cornus canadensis,Teppich-Hartriegel
Cornus controversa,Riesen-Hartriegel
Cornus florida,Blüten-Hartriegel
Cornus kousa,Japanischer Blumen-Hartriegel
Cornus mas,Kornelkirsche
Cornus nuttallii,Nutalls Blumen-Hartriegel
Cornus officinalis,Japanische Kornelkirsche
Cornus racemosa,Rispen-Hartriegel
Cornus sanguinea,Blutroter Hartriegel
