id,species_id,district_id,object_id,hochwert,rechtswert,topology,tree_type,tree_species,trunk_diameter,crown_diameter,total_height,felling_year,plant_year,geom 
 10621,,,10620,3530872.674,6073543.466,44.14,,Acer campestre 'Elsrijk',,,,2023,,9.478881,54.790233
 10635,,,10634,3530743.60569,6072718.72354,41.4,,Populus tremula,,,,2023,,9.476787,54.782832
 10636,,,10635,3530746.93945,6072720.54917,41.23,,Populus tremula,,,,2023,,9.476839,54.782848
 10813,,,10812,3527481.909,6073386.224,40.14,,Crataegus laevigata 'Paul's Scarlet',,,,2023,,9.426156,54.789018
 10814,,,10813,3527470.673,6073368.414,41.18,,Crataegus laevigata 'Paul's Scarlet',,,,2023,,9.42598,54.788858
 10969,,,10968,3530073.741,6073749.567,40.77,,Tilia cordata,,,,2023,,9.466483,54.792133
 11171,,,11170,3527231.65169,6072086.72388,39.52,,Tilia cordata,,,,2023,,9.422144,54.777358
 11181,,,11180,3526502.50588,6074364.17522,45.47,,Ulmus glabra,,,,2023,,9.411021,54.797855
 11769,,,11768,3527734.83959,6073995.38568,19.0,,Tilia platyphyllos,,,,2023,,9.430146,54.794476
 12078,,,12077,3527518.79989,6072226.29454,35.26,,Betula pendula,,,,2023,,9.42662,54.778596
 12328,,,12327,3529519.70967,6074933.55317,43.55,,Ulmus species,,,,2023,,9.457991,54.802801
 12433,,,12432,3530191.749,6073165.87993,36.04,,Populus x berolinensis,,,,2023,,9.468257,54.786883
 12878,,,12877,3531148.10373,6076731.96279,40.09,,Populus tremula,,,,2023,,9.483505,54.818858
 12888,,,12887,3531145.43102,6076678.5892,41.8,,Populus tremula,,,,2023,,9.483458,54.818378
 13291,,,13290,3530019.58625,6074685.90344,48.21,,Baumgruppe/flächiger Bestand,,,,2023,,9.465738,54.800547
 13394,,,13393,3527070.1866,6072649.47896,51.28,,Tilia intermedia,,,,2023,,9.419688,54.782422
 13402,,,13401,3527071.83116,6072621.90105,51.41,,Aesculus hippocastanum,,,,2023,,9.419711,54.782174
 13403,,,13402,3527042.65431,6072651.04768,51.49,,Baumgruppe/flächiger Bestand,,,,2023,,9.41926,54.782437
 13446,,,13445,3526944.45086,6073605.50148,51.42,,Ulmus species,,,,2023,,9.417822,54.791017
 13396,,,13395,3527122.17981,6072596.60022,51.72,,Baumgruppe/flächiger Bestand,,,,2023,,9.420491,54.781944
 13579,,,13578,3529185.01717,6073776.339110001,22.55,,Picea abies,,,,2023,,9.45267,54.792426
 13617,,,13616,3529740.68418,6074081.4113,46.86,,Crataegus monogyna,,,,2023,,9.461339,54.795134
 13977,,,13976,3526919.73069,6074829.985249999,44.52,,Populus tremula,,,,2023,,9.417552,54.802017
 13979,,,13978,3526920.89617,6074826.01201,43.87,,Acer pseudoplatanus,,,,2023,,9.417569,54.801982
 13988,,,13987,3526947.37119,6074803.22151,41.25,,Acer pseudoplatanus,,,,2023,,9.417979,54.801775
 14024,,,14023,3526851.03044,6074762.33821,44.67,,Ulmus glabra,,,,2023,,9.416477,54.801413
 14049,,,14048,3526879.42917,6074732.12238,41.34,,Ulmus glabra,,,,2023,,9.416916,54.80114
 14473,,,14472,3530268.73663,6071861.44471,42.86,,Aesculus hippocastanum,,,,2023,,9.469317,54.77516
 14477,,,14476,3530241.11408,6071927.273169999,41.55,,Aesculus hippocastanum,,,,2023,,9.468895,54.775753
 14479,,,14478,3530221.6407,6071954.895729999,41.14,,Aesculus hippocastanum,,,,2023,,9.468595,54.776003
 14504,,,14503,3529675.89178,6072132.5324,45.6,,Baumgruppe/flächiger Bestand,,,,2023,,9.460133,54.777631
 14475,,,14474,3530255.08411,6071887.69143,42.48,,Aesculus hippocastanum,,,,2023,,9.469108,54.775397
 14476,,,14475,3530256.24827,6071917.536489999,41.28,,Aesculus hippocastanum,,,,2023,,9.469129,54.775665
 14560,,,14559,3524813.15635,6070541.18216,39.21,,Salix alba,,,,2023,,9.384428,54.7636
 14652,,,14651,3529294.00284,6074134.01017,38.89,,Prunus avium 'Plena',,,,2023,,9.4544,54.795632
 14747,,,14746,3527177.19141,6072658.21164,51.7,,Baumgruppe/flächiger Bestand,,,,2023,,9.421351,54.782495
 15187,,,15186,3530596.16341,6073608.75113,44.05,,Baumgruppe/flächiger Bestand,,,,2023,,9.474589,54.790836
 15261,,,15260,3527273.06923,6071331.228409999,33.58,,Baumgruppe/flächiger Bestand,,,,2023,,9.422717,54.770569
 15263,,,15262,3527158.769,6071052.62161,32.89,,Baumgruppe/flächiger Bestand,,,,2023,,9.420915,54.768073
 15266,,,15265,3527113.52516,6070901.80881,28.73,,Baumgruppe/flächiger Bestand,,,,2023,,9.420198,54.76672
 15281,,,15280,3529206.65803,6073784.1145,23.9,,Baumgruppe/flächiger Bestand,,,,2023,,9.453007,54.792494
 15288,,,15287,3530930.22409,6074621.761090001,46.18,,Baumgruppe/flächiger Bestand,,,,2023,,9.479891,54.799916
 15311,,,15310,3530933.1498,6074648.73974,47.27,,Baumgruppe/flächiger Bestand,,,,2023,,9.479939,54.800158
 15278,,,15277,3528708.57891,6073768.63635,18.52,,Baumgruppe/flächiger Bestand,,,,2023,,9.445262,54.792384
 15371,,,15370,3527832.19781,6073154.57171,25.41,,Ulmus glabra,,,,2023,,9.431579,54.786917
 15424,,,15423,3527850.38834,6073124.44255,22.12,,Fraxinus excelsior,,,,2023,,9.431859,54.786646
 15397,,,15396,3527841.53536,6073136.79244,23.72,,Ulmus glabra,,,,2023,,9.431723,54.786757
 15791,,,15790,3529033.65499,6073457.82217,38.78,,Ulmus glabra,,,,2023,,9.450285,54.789573
 16003,,,16002,3530348.08761,6072292.6167,37.07,,Prunus avium,,,,2023,,9.470595,54.779029
 16098,,,16097,3527308.91503,6074121.890370001,19.2,,Acer pseudoplatanus 'Atropurpureum',,,,2023,,9.423537,54.795636
 16135,,,16134,3526925.03604,6074394.40692,15.61,,Baumgruppe/flächiger Bestand,,,,2023,,9.417594,54.798104
 16136,,,16135,3531355.83885,6076589.910889999,41.12,,Baumgruppe/flächiger Bestand,,,,2023,,9.486722,54.817569
 16140,,,16139,3528643.90327,6072126.70684,27.51,,Baumgruppe/flächiger Bestand,,,,2023,,9.444095,54.777639
 16166,,,16165,3529778.3703,6075163.68302,38.19,,Baumgruppe/flächiger Bestand,,,,2023,,9.462037,54.804853
 16238,,,16237,3526520.6426,6072577.93126,43.45,,Baumgruppe/flächiger Bestand,,,,2023,,9.41114,54.781809
 16249,,,16248,3527799.18216,6072684.75699,41.75,,Carpinus betulus,,,,2023,,9.431021,54.782699
 16251,,,16250,3527789.81589,6072682.13761,42.03,,Acer campestre,,,,2023,,9.430875,54.782676
 16295,,,16294,3528452.44455,6071173.50611,39.65,,Ulmus species,,,,2023,,9.441026,54.769087
 16324,,,16323,3528037.43992,6072541.69394,19.15,,Baumgruppe/flächiger Bestand,,,,2023,,9.43471,54.781401
 16330,,,16329,3527420.40346,6072087.148310001,30.07,,Baumgruppe/flächiger Bestand,,,,2023,,9.425078,54.777352
 16358,,,16357,3527185.39351,6072623.88629,52.23,,Baumgruppe/flächiger Bestand,,,,2023,,9.421476,54.782186
 16399,,,16398,3527191.57163,6076518.21612,33.75,,Baumgruppe/flächiger Bestand,,,,2023,,9.421937,54.817168
 16407,,,16406,3527217.72285,6075688.98412,24.11,,Baumgruppe/flächiger Bestand,,,,2023,,9.422266,54.809718
 16502,,,16501,3527261.47014,6071981.452109999,34.99,,Baumgruppe/flächiger Bestand,,,,2023,,9.422598,54.776411
 16515,,,16514,3527166.6521,6071907.612929999,36.72,,Corylus colurna,,,,2023,,9.421117,54.775753
 16617,,,16616,3530288.60324,6075288.24164,30.91,,Baumgruppe/flächiger Bestand,,,,2023,,9.469984,54.805942
 16618,,,16617,3530353.14517,6075236.66432,33.15,,Baumgruppe/flächiger Bestand,,,,2023,,9.470982,54.805474
 16644,,,16643,3526858.47353,6071820.7909,37.97,,Baumgruppe/flächiger Bestand,,,,2023,,9.41632,54.774989
 16843,,,16842,3529919.74211,6074974.61323,44.78,,Alnus glutinosa,,,,2023,,9.464215,54.803146
 16844,,,16843,3529910.58751,6074974.77199,44.75,,Alnus glutinosa,,,,2023,,9.464073,54.803148
 16872,,,16871,3530265.10565,6073341.304349999,37.83,,Baumgruppe/flächiger Bestand,,,,2023,,9.469415,54.788454
 17454,,,17453,3527787.61114,6071319.1862,38.31,,Acer monspessulanum,,,,2023,,9.43071,54.770433
 17487,,,17486,3531180.71869,6072506.22906,43.73,,Quercus rubra,,,,2023,,9.483558,54.780897
 17634,,,17633,3531194.03445,6073455.742250001,46.56,,Baumgruppe/flächiger Bestand,,,,2023,,9.483867,54.789425
 17635,,,17634,3531156.09313,6073464.632269999,46.04,,Baumgruppe/flächiger Bestand,,,,2023,,9.483278,54.789507
 17636,,,17635,3531141.32935,6073499.55734,46.6,,Baumgruppe/flächiger Bestand,,,,2023,,9.483052,54.789822
 17642,,,17641,3527072.60432,6074210.841289999,24.04,,Baumgruppe/flächiger Bestand,,,,2023,,9.419871,54.796447
 17644,,,17643,3527039.58426,6074270.95474,21.86,,Baumgruppe/flächiger Bestand,,,,2023,,9.419363,54.796989
 17651,,,17650,3527111.5934,6074223.54132,20.04,,Acer platanoides,,,,2023,,9.420478,54.796559
 17653,,,17652,3527115.82674,6074244.49636,19.71,,Pinus mugo,,,,2023,,9.420546,54.796747
 17676,,,17675,3526295.78338,6075532.668709999,41.79,,Baumgruppe/flächiger Bestand,,,,2023,,9.407913,54.808363
 17679,,,17678,3526494.11932,6074852.18384,55.6,,Baumgruppe/flächiger Bestand,,,,2023,,9.410936,54.802239
 17680,,,17679,3526591.69784,6074775.560349999,51.66,,Baumgruppe/flächiger Bestand,,,,2023,,9.412446,54.801546
 17684,,,17683,3526360.98072,6074666.76347,51.43,,Baumgruppe/flächiger Bestand,,,,2023,,9.408849,54.800581
 17687,,,17686,3526547.67255,6074392.12044,40.05,,Baumgruppe/flächiger Bestand,,,,2023,,9.411726,54.798104
 17688,,,17687,3526589.4768,6074359.84121,41.39,,Baumgruppe/flächiger Bestand,,,,2023,,9.412373,54.797812
 17690,,,17689,3526551.7736,6074300.70672,49.42,,Baumgruppe/flächiger Bestand,,,,2023,,9.411782,54.797283
